code,name,final_date,group_code,group_name,period
108,Under 75 mortality rate from all causes,31-12-2013,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2014,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2018,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2004,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2020,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2010,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2005,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2002,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2006,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2006,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2012,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2017,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2013,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2010,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2015,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2019,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2011,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2019,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2020,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2012,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2009,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2005,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2003,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2016,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2018,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2004,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2007,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2016,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2009,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2017,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2001,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2015,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2003,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2011,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2014,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2008,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2007,26,health-profiles,1Y
108,Under 75 mortality rate from all causes,31-12-2008,125,mortality-profile,1Y
108,Under 75 mortality rate from all causes,31-12-2002,26,health-profiles,1Y
113,Smoking attributable mortality (old method),31-12-2012,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2011,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2014,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2013,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2009,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2017,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2016,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2015,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2018,79,drugsandmentalhealth,1Y
113,Smoking attributable mortality (old method),31-12-2010,79,drugsandmentalhealth,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2017,58,learning-disabilities,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2019,58,learning-disabilities,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2021,106,crisis-care,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2018,106,crisis-care,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2020,106,crisis-care,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2019,106,crisis-care,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2018,58,learning-disabilities,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2020,58,learning-disabilities,1Y
200,Learning disability: QOF prevalence (all ages),31-12-2017,106,crisis-care,1Y
212,Stroke: QOF prevalence (all ages),31-12-2022,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2013,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2018,99,physical-activity,1Y
212,Stroke: QOF prevalence (all ages),31-12-2015,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2013,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2017,84,dementia,1Y
212,Stroke: QOF prevalence (all ages),31-12-2021,65,nhs-health-check,1Y
212,Stroke: QOF prevalence (all ages),31-12-2014,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2020,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2015,146,healthy-ageing,1Y
212,Stroke: QOF prevalence (all ages),31-12-2013,146,healthy-ageing,1Y
