code,final_year,description,profile
110,2021,Early years,EDUCATION SERVICES
120,2021,Primary schools,EDUCATION SERVICES
130,2021,Secondary schools,EDUCATION SERVICES
140,2021,Special schools and alternative provision,EDUCATION SERVICES
145,2021,Post-16 provision,EDUCATION SERVICES
165,2021,Other education and community budget,EDUCATION SERVICES
190,2021,TOTAL EDUCATION SERVICES (total of lines 110 to 165),EDUCATION SERVICES
210,2021,"Transport planning, policy and strategy",HIGHWAYS AND TRANSPORT SERVICES
230,2021,Structural maintenance,HIGHWAYS AND TRANSPORT SERVICES
247,2021,"Environmental, safety and routine maintenance",HIGHWAYS AND TRANSPORT SERVICES
248,2021,Winter service,HIGHWAYS AND TRANSPORT SERVICES
249,2021,Street lighting (including energy costs),HIGHWAYS AND TRANSPORT SERVICES
251,2021,Traffic management and road safety: congestion charging,HIGHWAYS AND TRANSPORT SERVICES
252,2021,Traffic management and road safety: traffic management – bus lane enforcement,HIGHWAYS AND TRANSPORT SERVICES
254,2021,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),HIGHWAYS AND TRANSPORT SERVICES
258,2021,Traffic management and road safety: other,HIGHWAYS AND TRANSPORT SERVICES
260,2021,Parking services,HIGHWAYS AND TRANSPORT SERVICES
271,2021,Public transport: statutory concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
272,2021,Public transport: discretionary concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
275,2021,Public transport: support to operators,HIGHWAYS AND TRANSPORT SERVICES
276,2021,Public transport: co-ordination,HIGHWAYS AND TRANSPORT SERVICES
280,2021,"Airports, harbours and toll facilities",HIGHWAYS AND TRANSPORT SERVICES
290,2021,TOTAL HIGHWAYS AND TRANSPORT SERVICES (total of lines 210 to 280),HIGHWAYS AND TRANSPORT SERVICES
310,2021,Sure start children's centres and early years,CHILDREN'S SOCIAL CARE
313,2021,Children looked after,CHILDREN'S SOCIAL CARE
315,2021,Other children and family services,CHILDREN'S SOCIAL CARE
322,2021,Family support services,CHILDREN'S SOCIAL CARE
323,2021,Youth justice,CHILDREN'S SOCIAL CARE
325,2021,Safeguarding children and young people’s services,CHILDREN'S SOCIAL CARE
326,2021,Asylum seekers,CHILDREN'S SOCIAL CARE
327,2021,Services for young people,CHILDREN'S SOCIAL CARE
330,2021,TOTAL CHILDREN'S SOCIAL CARE (total of lines 310 to 327),CHILDREN'S SOCIAL CARE
332,2021,Physical support - adults (18–64),ADULT SOCIAL CARE
333,2021,Physical support - older people (65+),ADULT SOCIAL CARE
334,2021,Sensory support - adults (18–64),ADULT SOCIAL CARE
335,2021,Sensory support - older people (65+),ADULT SOCIAL CARE
336,2021,Support with memory and cognition - adults (18–64),ADULT SOCIAL CARE
337,2021,Support with memory and cognition - older people (65+),ADULT SOCIAL CARE
340,2021,Learning disability support - adults (18–64),ADULT SOCIAL CARE
341,2021,Learning disability support - older people (65+),ADULT SOCIAL CARE
344,2021,Mental health support - adults (18–64),ADULT SOCIAL CARE
345,2021,Mental health support - older people (65+),ADULT SOCIAL CARE
348,2021,Social support: Substance misuse support,ADULT SOCIAL CARE
349,2021,Social support: Asylum seeker support,ADULT SOCIAL CARE
350,2021,Social support: Support for carer,ADULT SOCIAL CARE
351,2021,Social support: Social Isolation,ADULT SOCIAL CARE
353,2021,Assistive equipment and technology,ADULT SOCIAL CARE
354,2021,Social care activities,ADULT SOCIAL CARE
355,2021,Information and early intervention,ADULT SOCIAL CARE
356,2021,Commissioning and service delivery,ADULT SOCIAL CARE
360,2021,TOTAL ADULT SOCIAL CARE (total of lines 332 to 356) (b),ADULT SOCIAL CARE
361,2021,Sexual health services - STI testing and treatment (prescribed functions),PUBLIC HEALTH
362,2021,Sexual health services - Contraception (prescribed functions),PUBLIC HEALTH
363,2021,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",PUBLIC HEALTH
365,2021,NHS health check programme  (prescribed functions),PUBLIC HEALTH
366,2021,Health protection - Local authority role in health protection  (prescribed functions),PUBLIC HEALTH
368,2021,National child measurement programme (prescribed functions),PUBLIC HEALTH
370,2021,Public health advice to NHS commissioners (prescribed functions),PUBLIC HEALTH
371,2021,Obesity - adults,PUBLIC HEALTH
372,2021,Obesity - children,PUBLIC HEALTH
373,2021,Physical activity - adults,PUBLIC HEALTH
374,2021,Physical activity - children,PUBLIC HEALTH
376,2021,Substance misuse - Treatment for drug misuse in adults,PUBLIC HEALTH
377,2021,Substance misuse - Treatment for alcohol misuse in adults,PUBLIC HEALTH
378,2021,Substance misuse - Preventing and reducing harm from drug misuse in adults,PUBLIC HEALTH
379,2021,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,PUBLIC HEALTH
380,2021,Substance misuse - Specialist drug and alcohol misuse services for children and young people,PUBLIC HEALTH
381,2021,Smoking and tobacco - Stop smoking services and interventions,PUBLIC HEALTH
382,2021,Smoking and tobacco - Wider tobacco control,PUBLIC HEALTH
383,2021,Children 5–19 public health programmes,PUBLIC HEALTH
384,2021,Mandated 0-5 children’s services (prescribed functions),PUBLIC HEALTH
385,2021,All Other 0-5 children’s services (non-prescribed functions),PUBLIC HEALTH
386,2021,Health at work,PUBLIC HEALTH
387,2021,Public mental health,PUBLIC HEALTH
389,2021,Miscellaneous public health services - other,PUBLIC HEALTH
390,2021,TOTAL PUBLIC HEALTH (total of lines 361 to 386),PUBLIC HEALTH
409,2021,"Housing strategy, advice, advances, enabling, renewals and licensing",HOUSING SERVICES (GFRA only)
440,2021,Homelessness,HOUSING SERVICES (GFRA only)
456,2021,Housing benefits: rent allowances and rent rebates - discretionary payments,HOUSING SERVICES (GFRA only)
457,2021,Housing benefits administration,HOUSING SERVICES (GFRA only)
460,2021,Other council property - travellers' sites and non-HRA council property,HOUSING SERVICES (GFRA only)
475,2021,Housing welfare: Supporting People,HOUSING SERVICES (GFRA only)
478,2021,Other welfare services,HOUSING SERVICES (GFRA only)
490,2021,TOTAL HOUSING SERVICES (GFRA only)  (total of lines 409 to 478),HOUSING SERVICES (GFRA only)
500,2021,Archives,CULTURAL AND RELATED SERVICES
501,2021,Culture and heritage (excluding Archives),CULTURAL AND RELATED SERVICES
504,2021,Tourism,CULTURAL AND RELATED SERVICES
505,2021,Library service,CULTURAL AND RELATED SERVICES
506,2021,Recreation and sport,CULTURAL AND RELATED SERVICES
507,2021,Open spaces,CULTURAL AND RELATED SERVICES
509,2021,TOTAL CULTURAL AND RELATED SERVICES (total of lines 500 to 507),CULTURAL AND RELATED SERVICES
510,2021,"Cemetery, cremation and mortuary services",ENVIRONMENTAL AND REGULATORY SERVICES
519,2021,Regulatory services: Trading standards,ENVIRONMENTAL AND REGULATORY SERVICES
520,2021,Regulatory services: Water safety,ENVIRONMENTAL AND REGULATORY SERVICES
521,2021,Regulatory services: Food safety,ENVIRONMENTAL AND REGULATORY SERVICES
522,2021,Regulatory services: Environmental protection; noise and nuisance,ENVIRONMENTAL AND REGULATORY SERVICES
523,2021,Regulatory services: Housing standards,ENVIRONMENTAL AND REGULATORY SERVICES
524,2021,Regulatory services: Health and safety,ENVIRONMENTAL AND REGULATORY SERVICES
525,2021,Regulatory services: Port health (excluding levies),ENVIRONMENTAL AND REGULATORY SERVICES
526,2021,Regulatory services: Port health levies,ENVIRONMENTAL AND REGULATORY SERVICES
527,2021,Regulatory services: Pest control,ENVIRONMENTAL AND REGULATORY SERVICES
528,2021,Regulatory services: Public conveniences,ENVIRONMENTAL AND REGULATORY SERVICES
529,2021,Regulatory services: Animal and public health; infectious disease,ENVIRONMENTAL AND REGULATORY SERVICES
530,2021,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,ENVIRONMENTAL AND REGULATORY SERVICES
531,2021,Community safety (Crime reduction),ENVIRONMENTAL AND REGULATORY SERVICES
532,2021,Community safety (Safety services),ENVIRONMENTAL AND REGULATORY SERVICES
533,2021,Community safety (CCTV),ENVIRONMENTAL AND REGULATORY SERVICES
541,2021,Defences against flooding,ENVIRONMENTAL AND REGULATORY SERVICES
543,2021,Land drainage and related work (excluding levy / Special levies),ENVIRONMENTAL AND REGULATORY SERVICES
544,2021,Land drainage and related work - Levy / Special levies,ENVIRONMENTAL AND REGULATORY SERVICES
547,2021,Coast protection,ENVIRONMENTAL AND REGULATORY SERVICES
550,2021,Agriculture and fisheries services,ENVIRONMENTAL AND REGULATORY SERVICES
570,2021,Street cleansing (not chargeable to Highways),ENVIRONMENTAL AND REGULATORY SERVICES
581,2021,Waste collection,ENVIRONMENTAL AND REGULATORY SERVICES
582,2021,Waste disposal,ENVIRONMENTAL AND REGULATORY SERVICES
583,2021,Trade waste,ENVIRONMENTAL AND REGULATORY SERVICES
584,2021,Recycling,ENVIRONMENTAL AND REGULATORY SERVICES
585,2021,Waste minimisation,ENVIRONMENTAL AND REGULATORY SERVICES
586,2021,Climate change costs,ENVIRONMENTAL AND REGULATORY SERVICES
590,2021,TOTAL ENVIRONMENTAL AND REGULATORY SERVICES (total of lines 510 to 586),ENVIRONMENTAL AND REGULATORY SERVICES
591,2021,Building control,PLANNING AND DEVELOPMENT SERVICES
592,2021,Development control,PLANNING AND DEVELOPMENT SERVICES
593,2021,Planning policy,PLANNING AND DEVELOPMENT SERVICES
594,2021,Environmental initiatives,PLANNING AND DEVELOPMENT SERVICES
595,2021,Economic development,PLANNING AND DEVELOPMENT SERVICES
596,2021,Community development,PLANNING AND DEVELOPMENT SERVICES
597,2021,Economic research,PLANNING AND DEVELOPMENT SERVICES
598,2021,Business Support,PLANNING AND DEVELOPMENT SERVICES
599,2021,TOTAL PLANNING AND DEVELOPMENT SERVICES (total of lines 591 to 598),PLANNING AND DEVELOPMENT SERVICES
601,2021,TOTAL POLICE SERVICES,PLANNING AND DEVELOPMENT SERVICES
602,2021,TOTAL FIRE AND RESCUE SERVICES,PLANNING AND DEVELOPMENT SERVICES
604,2021,Coroners' court services,CENTRAL SERVICES
605,2021,Other court services,CENTRAL SERVICES
610,2021,Corporate and democratic core,CENTRAL SERVICES
623,2021,Local tax collection: council tax discounts - locally funded,CENTRAL SERVICES
625,2021,Local tax collection: council tax support administration,CENTRAL SERVICES
628,2021,Local tax collection: other,CENTRAL SERVICES
650,2021,Emergency planning,CENTRAL SERVICES
675,2021,Central services to the public: other,CENTRAL SERVICES
681,2021,Non-distributed costs - retirement benefits,CENTRAL SERVICES
682,2021,Non-distributed costs - costs of unused shares of IT facilities and other assets,CENTRAL SERVICES
684,2021,Non-distributed costs - revenue expenditure on surplus assets,CENTRAL SERVICES
690,2021,TOTAL CENTRAL SERVICES (total of lines 604 to 684),CENTRAL SERVICES
698,2021,TOTAL OTHER SERVICES,CENTRAL SERVICES
799,2021,"TOTAL SERVICE EXPENDITURE (total of lines 190, 290, 330, 360, 390, 490, 509, 590, 599, 601, 602, 690 and 698)",CENTRAL SERVICES
811,2021,Housing benefits: rent allowances - mandatory payments,CENTRAL SERVICES
812,2021,Housing benefits: non-HRA rent rebates - mandatory payments,CENTRAL SERVICES
813,2021,Housing benefits: rent rebates to HRA tenants - mandatory payments,CENTRAL SERVICES
814,2021,Housing benefits: subsidy limitation transfers from HRA,CENTRAL SERVICES
818,2021,Contribution to the HRA re items shared by the whole community,CENTRAL SERVICES
821,2021,Parish Precepts,Precepts and levies
822,2021,Integrated Transport Authority levy,Precepts and levies
824,2021,Waste Disposal Authority levy,Precepts and levies
827,2021,London Pensions Fund Authority levy,Precepts and levies
828,2021,Other levies,Precepts and levies
831,2021,External Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
832,2021,Internal Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
841,2021,Capital items accounted for in External Trading Accounts,Precepts and levies
842,2021,Capital items accounted for in Internal Trading Accounts,Precepts and levies
847,2021,Appropriations to(+) / from(-) Accumulated Absences Account,Precepts and levies
848,2021,Adjustments to net current expenditure,Precepts and levies
849,2021,NET CURRENT EXPENDITURE (total of lines 799 to 848),Precepts and levies
110,2020,Early years,EDUCATION SERVICES
120,2020,Primary schools,EDUCATION SERVICES
130,2020,Secondary schools,EDUCATION SERVICES
140,2020,Special schools and alternative provision,EDUCATION SERVICES
145,2020,Post-16 provision,EDUCATION SERVICES
165,2020,Other education and community budget,EDUCATION SERVICES
190,2020,TOTAL EDUCATION SERVICES (total of lines 110 to 165),EDUCATION SERVICES
