indicator_id,indicator_name,definition_short,final_year,profile_id,profile_name
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2013,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2014,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2018,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2004,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2020,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2010,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2005,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2002,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2006,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2006,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2012,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2017,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2013,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2010,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2015,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2019,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2011,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2019,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2020,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2012,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2009,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2005,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2003,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2016,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2018,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2004,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2007,125,mortality-profile
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2016,26,health-profiles
108,Under 75 mortality rate from all causes,Under 75 mortality rate from all causes,2009,26,health-profiles
